Time Stamp,Name,,LBMP ($/MWHr)
5:00 AM,WEST,,17.61
6:00 AM,WEST,,11.24
7:00 AM,WEST,,17.6
8:00 AM,WEST,,11.44
9:00 AM,WEST,,15.82
10:00 AM,WEST,,9.04
11:00 AM,WEST,,21.1
12:00 PM,WEST,,8.61
1:00 PM,WEST,,7.74
2:00 PM,WEST,,17.35
3:00 PM,WEST,,21.73
4:00 PM,WEST,,9.46
5:00 PM,WEST,,17.63
6:00 PM,WEST,,21.57
7:00 PM,WEST,,7.7
8:00 PM,WEST,,15.29
9:00 PM,WEST,,8.9
10:00 PM,WEST,,16.6
11:00 PM,WEST,,9.03
